COCOMO Preliminary results chaotic bernoulli, chaotic inertial = 0.7:
4.2022237589025,100
3.7616246974854,100
4.3142968093885,100
4.6839055784552,100
3.4040166595452,100
4.0738941066221,100
4.0034344799826,100
4.2112173106438,100
4.2126613375418,100
4.2117125484816,100
4.4589707225281,100
4.1395367336651,100
4.2323878541704,100
4.1256291363709,100
4.1567603953364,100
3.9326938489111,100
4.5801749498095,100
3.5509078065895,100
4.5140802010768,100

COCOMO Preliminary results chaotic chebyshev, chaotic inertial = 0.7:
214.66346589774,10
343.91617821056,10
364.5817280722,10
345.48896687126,10
294.79055962906,10
363.30959545347,10
346.45698438272,10
331.56617399478,10
332.12178277422,10
375.65587811078,10
450.78881317206,10
352.57079519192,10
374.19523637529,10
323.56790176682,10
321.7792257466,10
358.31892457979,10
295.07513521072,10
330.81140468886,10
334.4706915517,10
